,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
312,Q2 2005,3530.0,Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,380270577.0,2005/5/19,2005/6/30,Q2,2005
336,Q4 2005,3533.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Studios Motion Pictures,287482269.0,2005/12/9,2005/12/31,Q4,2005
450,Q2 2006,4104.0,X-Men: The Last Stand,Twentieth Century Fox,234337076.0,2006/5/26,2006/6/30,Q2,2006
340,Q2 2006,4105.0,The Da Vinci Code,Sony Pictures Releasing,217536138.0,2006/5/19,2006/6/30,Q2,2006
253,Q3 2006,4102.0,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,422614379.0,2006/7/7,2006/9/30,Q3,2006
242,Q4 2006,4118.0,Night at the Museum,Twentieth Century Fox,250860439.0,2006/12/22,2006/12/31,Q4,2006
69,Q2 2006,4103.0,Cars,Walt Disney Studios Motion Pictures,244082982.0,2006/6/9,2006/6/30,Q2,2006
148,Q3 2007,4750.0,Harry Potter and the Order of the Phoenix,Warner Bros.,292004738.0,2007/7/11,2007/9/30,Q3,2007
289,Q2 2007,4747.0,Shrek the Third,DreamWorks,322719944.0,2007/5/18,2007/6/30,Q2,2007
421,Q3 2007,4748.0,Transformers,DreamWorks,319246193.0,2007/7/3,2007/9/30,Q3,2007
252,Q2 2007,4749.0,Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,309420425.0,2007/5/25,2007/6/30,Q2,2007
302,Q2 2007,4746.0,Spider-Man 3,Sony Pictures Releasing,336530303.0,2007/5/4,2007/6/30,Q2,2007
177,Q2 2008,5423.0,Iron Man,Paramount Pictures,318604126.0,2008/5/2,2008/6/30,Q2,2008
341,Q3 2008,5421.0,The Dark Knight,Warner Bros.,533345358.0,2008/7/18,2008/9/30,Q3,2008
172,Q2 2008,5422.0,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,317101119.0,2008/5/22,2008/6/30,Q2,2008
435,Q2 2008,5425.0,WALL·E,Walt Disney Studios Motion Pictures,223799741.0,2008/6/27,2008/6/30,Q2,2008
139,Q3 2008,5424.0,Hancock,Sony Pictures Releasing,227946274.0,2008/7/2,2008/9/30,Q3,2008
432,Q2 2009,6055.0,Up,Walt Disney Studios Motion Pictures,293004164.0,2009/5/29,2009/6/30,Q2,2009
424,Q2 2009,6053.0,Transformers: Revenge of the Fallen,DreamWorks,402111870.0,2009/6/24,2009/6/30,Q2,2009
407,Q4 2009,6056.0,The Twilight Saga: New Moon,Summit Entertainment,296623634.0,2009/11/20,2009/12/31,Q4,2009
147,Q3 2009,6054.0,Harry Potter and the Half-Blood Prince,Warner Bros.,301959197.0,2009/7/15,2009/9/30,Q3,2009
33,Q4 2009,6057.0,Avatar,Twentieth Century Fox,749766139.0,2009/12/18,2009/12/31,Q4,2009
420,Q2 2010,6631.0,Toy Story 3,Walt Disney Studios Motion Pictures,415004880.0,2010/6/18,2010/6/30,Q2,2010
406,Q2 2010,6634.0,The Twilight Saga: Eclipse,Summit Entertainment,300531751.0,2010/6/30,2010/6/30,Q2,2010
144,Q4 2010,6636.0,Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,295983305.0,2010/11/19,2010/12/31,Q4,2010
178,Q2 2010,6633.0,Iron Man 2,Paramount Pictures,312433331.0,2010/5/7,2010/6/30,Q2,2010
13,Q1 2010,6632.0,Alice in Wonderland,Walt Disney Studios Motion Pictures,332430200.0,2010/3/5,2010/3/31,Q1,2010
404,Q4 2011,7227.0,The Twilight Saga: Breaking Dawn - Part 1,Summit Entertainment,281287133.0,2011/11/18,2011/12/31,Q4,2011
353,Q2 2011,7228.0,The Hangover Part II,Warner Bros.,254464305.0,2011/5/26,2011/6/30,Q2,2011
