season,studio,gross
Q1 2009,Rialto Pictures,178514.0
Q1 2009,Roadside Attractions,1249314.0
Q1 2009,Roebuck Media,24375.0
Q1 2009,Screen Gems,73606348.0
Q1 2009,Screen Media Films,36108.0
Q1 2009,Shorts International,644635.0
Q1 2009,Sony Pictures Classics,125120.0
Q1 2009,Sony Pictures Releasing,207709683.0
Q1 2009,Strand Releasing,135221.0
Q1 2009,Summit Entertainment,111750543.0
Q1 2009,The Cinema Guild,128222.0
Q1 2009,The Film Desk,76259.0
Q1 2009,The Weinstein Company,1162826.0
Q1 2009,Third Rail Releasing,166003.0
Q1 2009,Trela Media,27052.0
Q1 2009,Truly Indie,1746695.0
Q1 2009,Twentieth Century Fox,224469469.0
Q1 2009,UTV Motion Pictures,903653.0
Q1 2009,Universal Pictures,115995450.0
Q1 2009,Walt Disney Studios Motion Pictures,137679481.0
Q1 2009,Warner Bros.,367318046.0
Q1 2009,Zeitgeist Films,166839.0
Q1 2010,3D Entertainment,7714996.0
Q1 2010,8x Entertainment,515065.0
Q1 2010,Anchor Bay Films,6917212.0
Q1 2010,Apparition,3573673.0
Q1 2010,Balcony Releasing,41779.0
Q1 2010,CBS Films,12068313.0
Q1 2010,Cinema Purgatorio,8784.0
Q1 2010,Darius Films,44462.0
Q1 2010,Delaware Pictures,15514.0
Q1 2010,DreamWorks,217581231.0
Q1 2010,Eleven Arts,53135.0
Q1 2010,Eros International,527193.0
Q1 2010,First Run,550693.0
Q1 2010,Focus Features,4234170.0
Q1 2010,Fox Searchlight Pictures,24270850.0
Q1 2010,Freestyle Releasing,105700.0
Q1 2010,GKIDS,676775.0
Q1 2010,IFC Films,1073187.0
Q1 2010,Image Entertainment,39033.0
Q1 2010,Indican Pictures,171153.0
Q1 2010,IndieVest Pictures,102645.0
Q1 2010,International Film Circuit,25365.0
Q1 2010,Janus Films,209339.0
Q1 2010,Kino International,645063.0
Q1 2010,Lionsgate,78486090.0
Q1 2010,Magnolia Pictures,730365.0
Q1 2010,Metro-Goldwyn-Mayer (MGM),50287556.0
Q1 2010,Monterey Media,37189.0
Q1 2010,Music Box Films,11341138.0
Q1 2010,National Geographic Entertainment,10335294.0
Q1 2010,New American Vision,26258.0
Q1 2010,Newmarket Films,341323.0
Q1 2010,Oscilloscope,196515.0
Q1 2010,Overture Films,66287182.0
Q1 2010,Paladin,109383.0
Q1 2010,Paramount Pictures,160023794.0
Q1 2010,Regent Releasing,20178.0
Q1 2010,Rialto Pictures,124673.0
Q1 2010,Roadside Attractions,169640.0
Q1 2010,Screen Gems,120182922.0
Q1 2010,Screen Media Films,225341.0
Q1 2010,Shorts International,1018169.0
Q1 2010,Sony Pictures Classics,11780842.0
Q1 2010,Sony Pictures Releasing,67061228.0
Q1 2010,Strand Releasing,237035.0
Q1 2010,Summit Entertainment,34609789.0
Q1 2010,The Cinema Guild,206728.0
Q1 2010,The Film Desk,67904.0
Q1 2010,The Samuel Goldwyn Company,2888578.0
Q1 2010,Truly Indie,27301.0
Q1 2010,Twentieth Century Fox,212641636.0
Q1 2010,UTV Motion Pictures,168643.0
Q1 2010,Universal Pictures,136747095.0
Q1 2010,Walt Disney Studios Motion Pictures,425367539.0
Q1 2010,Warner Bros.,428641099.0
Q1 2010,Worldplay,116109.0
Q1 2010,Zeitgeist Films,723152.0
Q1 2011,Anchor Bay Films,1404304.0
Q1 2011,CBS Films,56987069.0
Q1 2011,China Lion Film Distribution,58725.0
Q1 2011,Cinema Libre Studio,1808.0
