season,Unnamed: 0,movie,studio,gross,release,time
Q2 1998,864,Deep Impact,Paramount Pictures,140464664,1998/5/8,1998/6/30
Q3 2010,6637,Despicable Me,Universal Pictures,251513985,2010/7/9,2010/9/30
Q3 2013,8563,Despicable Me 2,Universal Pictures,368065385,2013/7/3,2013/9/30
Q2 2017,11466,Despicable Me 3,Universal Pictures,264624300,2017/6/30,2017/6/30
Q4 2002,1909,Die Another Day,Metro-Goldwyn-Mayer (MGM),160942139,2002/11/22,2002/12/31
Q2 2000,1440,Dinosaur,Walt Disney Studios Motion Pictures,137748063,2000/5/19,2000/6/30
Q4 1994,420,Disclosure,Warner Bros.,83015089,1994/12/9,1994/12/31
Q4 2012,7892,Django Unchained,The Weinstein Company,162805434,2012/12/25,2012/12/31
Q2 1998,903,Doctor Dolittle,Twentieth Century Fox,144156605,1998/6/26,1998/6/30
Q4 2016,10730,Doctor Strange,Walt Disney Studios Motion Pictures,232641920,2016/11/4,2016/12/31
Q3 1999,1028,Double Jeopardy,Paramount Pictures,116741558,1999/9/24,1999/9/30
Q4 2018,12238,Dr. Seuss' The Grinch,Universal Pictures,270620950,2018/11/9,2018/12/31
Q4 1989,26,Driving Miss Daisy,Warner Bros.,106593296,1989/12/15,1989/12/31
Q4 1994,417,Dumb and Dumber,New Line Cinema,127175374,1994/12/16,1994/12/31
Q3 2017,11470,Dunkirk,Warner Bros.,188045546,2017/7/21,2017/9/30
Q4 1990,81,Edward Scissorhands,Twentieth Century Fox,56362352,1990/12/7,1990/12/31
Q4 1998,868,Enemy of the State,Walt Disney Studios Motion Pictures,111549836,1998/11/20,1998/12/31
Q4 2016,10731,Fantastic Beasts and Where to Find Them,Warner Bros.,234037575,2016/11/18,2016/12/31
Q3 2005,3541,Fantastic Four,Twentieth Century Fox,154646136,2005/7/8,2005/9/30
Q2 1992,241,Far and Away,Universal Pictures,58883840,1992/5/22,1992/6/30
Q2 2013,8568,Fast & Furious 6,Universal Pictures,238679850,2013/5/24,2013/6/30
Q2 2011,7230,Fast Five,Universal Pictures,209837675,2011/4/29,2011/6/30
Q4 1991,157,Father of the Bride,Walt Disney Studios Motion Pictures,89325780,1991/12/20,1991/12/31
Q4 1995,528,Father of the Bride Part II,Walt Disney Studios Motion Pictures,76594107,1995/12/8,1995/12/31
Q2 2016,10720,Finding Dory,Walt Disney Studios Motion Pictures,486295561,2016/6/17,2016/6/30
Q2 2003,2349,Finding Nemo,Walt Disney Studios Motion Pictures,339714978,2003/5/30,2003/6/30
Q4 1997,747,Flubber,Walt Disney Studios Motion Pictures,92977226,1997/11/26,1997/12/31
Q4 1992,247,Forever Young,Warner Bros.,55956187,1992/12/18,1992/12/31
Q3 1995,539,Forrest Gump,Paramount Pictures,329694499,1995/7/6,1995/9/30
Q1 1994,418,Four Weddings and a Funeral,Gramercy Pictures (I),52700832,1994/3/11,1994/3/31
Q3 1993,350,Free Willy,Warner Bros.,77698625,1993/7/16,1993/9/30
Q4 1991,208,Fried Green Tomatoes,Universal Pictures,82418501,1991/12/27,1991/12/31
Q4 2013,8566,Frozen,Walt Disney Studios Motion Pictures,400227936,2013/11/22,2013/12/31
Q2 2015,10018,Furious 7,Universal Pictures,353007020,2015/4/3,2015/6/30
Q1 2017,11473,Get Out,Universal Pictures,176040665,2017/2/24,2017/3/31
Q3 1991,167,Ghost,Paramount Pictures,217631306,1991/7/13,1991/9/30
Q2 1989,2,Ghostbusters II,Columbia Pictures,112494738,1989/6/16,1989/6/30
Q2 2000,1316,Gladiator,DreamWorks Distribution,187705427,2000/5/5,2000/6/30
Q2 1998,865,Godzilla,Sony Pictures Releasing,136314294,1998/5/20,1998/6/30
Q2 2014,9276,Godzilla,Warner Bros.,200676069,2014/5/16,2014/6/30
Q4 1995,523,GoldenEye,Metro-Goldwyn-Mayer (MGM),106429941,1995/11/17,1995/12/31
Q3 1990,78,Goodfellas,Warner Bros.,46836214,1990/9/19,1990/9/30
Q4 2008,5590,Gran Torino,Warner Bros.,148095302,2008/12/12,2008/12/31
Q4 2013,8567,Gravity,Warner Bros.,274092705,2013/10/4,2013/12/31
Q4 1990,123,Green Card,Walt Disney Studios Motion Pictures,29888235,1990/12/25,1990/12/31
Q1 1993,329,Groundhog Day,Columbia Pictures,70906973,1993/2/12,1993/3/31
Q4 1995,538,Grumpier Old Men,Warner Bros.,71518503,1995/12/22,1995/12/31
Q4 1993,346,Grumpy Old Men,Warner Bros.,70172621,1993/12/25,1993/12/31
Q3 2014,9266,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,333176600,2014/8/1,2014/9/30
Q2 2017,11462,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,389813101,2017/5/5,2017/6/30
Q3 2008,5424,Hancock,Sony Pictures Releasing,227946274,2008/7/2,2008/9/30
Q1 2001,1644,Hannibal,Metro-Goldwyn-Mayer (MGM),165092268,2001/2/9,2001/3/31
Q4 2006,4108,Happy Feet,Warner Bros.,198000317,2006/11/17,2006/12/31
Q4 1989,7,Harlem Nights,Paramount Pictures,60864870,1989/11/17,1989/12/31
Q4 2002,1900,Harry Potter and the Chamber of Secrets,Warner Bros.,261988482,2002/11/15,2002/12/31
Q4 2010,6636,Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,295983305,2010/11/19,2010/12/31
Q3 2011,7225,Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,381011219,2011/7/15,2011/9/30
Q4 2005,3531,Harry Potter and the Goblet of Fire,Warner Bros.,290013036,2005/11/18,2005/12/31
Q3 2009,6054,Harry Potter and the Half-Blood Prince,Warner Bros.,301959197,2009/7/15,2009/9/30
Q3 2007,4750,Harry Potter and the Order of the Phoenix,Warner Bros.,292004738,2007/7/11,2007/9/30
Q2 2004,2933,Harry Potter and the Prisoner of Azkaban,Warner Bros.,249541069,2004/6/4,2004/6/30
Q4 2001,1617,Harry Potter and the Sorcerer's Stone,Warner Bros.,317575550,2001/11/16,2001/12/31
Q4 1995,533,Heat,Warner Bros.,67436818,1995/12/15,1995/12/31
Q2 1997,778,Hercules,Walt Disney Studios Motion Pictures,99112101,1997/6/15,1997/6/30
Q4 2016,10930,Hidden Figures,Twentieth Century Fox,169387004,2016/12/25,2016/12/31
Q1 2005,3538,Hitch,Sony Pictures Releasing,179495555,2005/2/11,2005/3/31
Q4 1990,72,Home Alone,Twentieth Century Fox,285761243,1990/11/16,1990/12/31
Q4 1992,235,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516,1992/11/20,1992/12/31
