,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
219,Q4 1996,643.0,Michael,New Line Cinema,95318203.0,1996/12/25,1996/12/31,Q4,1996
384,Q2 1996,627.0,The Nutty Professor,Universal Pictures,128814019.0,1996/6/28,1996/6/30,Q2,1996
394,Q2 1996,628.0,The Rock,Walt Disney Studios Motion Pictures,134069511.0,1996/6/7,1996/6/30,Q2,1996
430,Q2 1996,630.0,Twister,Warner Bros.,241721524.0,1996/5/10,1996/6/30,Q2,1996
263,Q4 1996,629.0,Ransom,Walt Disney Studios Motion Pictures,136492681.0,1996/11/8,1996/12/31,Q4,1996
416,Q4 1997,748.0,Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),125304276.0,1997/12/19,1997/12/31,Q4,1997
30,Q4 1997,763.0,As Good as It Gets,Sony Pictures Releasing,148478011.0,1997/12/23,1997/12/31,Q4,1997
12,Q3 1997,742.0,Air Force One,Sony Pictures Releasing,172956409.0,1997/7/25,1997/9/30,Q3,1997
313,Q1 1997,751.0,Star Wars: Episode IV - A New Hope1997 Special Edition,Twentieth Century Fox,138257865.0,1997/1/31,1997/3/31,Q1,1997
279,Q4 1997,749.0,Scream 2,Dimension Films,101363301.0,1997/12/12,1997/12/31,Q4,1997
44,Q2 1997,744.0,Batman & Robin,Warner Bros.,107325195.0,1997/6/20,1997/6/30,Q2,1997
414,Q4 1997,743.0,Titanic,Paramount Pictures,600788188.0,1997/12/19,1997/12/31,Q4,1997
215,Q3 1997,739.0,Men in Black,Sony Pictures Releasing,250690539.0,1997/7/2,1997/9/30,Q3,1997
376,Q2 1997,740.0,The Lost World: Jurassic Park,Universal Pictures,229086679.0,1997/5/23,1997/6/30,Q2,1997
199,Q1 1997,741.0,Liar Liar,Universal Pictures,181410615.0,1997/3/21,1997/3/31,Q1,1997
97,Q2 1998,903.0,Doctor Dolittle,Twentieth Century Fox,144156605.0,1998/6/26,1998/6/30,Q2,1998
7,Q4 1998,866.0,A Bug's Life,Walt Disney Studios Motion Pictures,157505918.0,1998/11/20,1998/12/31,Q4,1998
273,Q3 1998,863.0,Saving Private Ryan,DreamWorks Distribution,216540909.0,1998/7/24,1998/9/30,Q3,1998
29,Q3 1998,862.0,Armageddon,Walt Disney Studios Motion Pictures,201578182.0,1998/7/1,1998/9/30,Q3,1998
236,Q2 1998,911.0,Mulan,Walt Disney Studios Motion Pictures,120620254.0,1998/6/19,1998/6/30,Q2,1998
127,Q2 1998,865.0,Godzilla,Sony Pictures Releasing,136314294.0,1998/5/20,1998/6/30,Q2,1998
453,Q4 1998,872.0,You've Got Mail,Warner Bros.,115821495.0,1998/12/18,1998/12/31,Q4,1998
89,Q2 1998,864.0,Deep Impact,Paramount Pictures,140464664.0,1998/5/8,1998/6/30,Q2,1998
198,Q3 1998,916.0,Lethal Weapon 4,Warner Bros.,130444603.0,1998/7/10,1998/9/30,Q3,1998
250,Q4 1998,877.0,Patch Adams,Universal Pictures,135026902.0,1998/12/25,1998/12/31,Q4,1998
54,Q2 1999,1023.0,Big Daddy,Sony Pictures Releasing,163479795.0,1999/6/25,1999/6/30,Q2,1999
382,Q2 1999,1024.0,The Mummy,Universal Pictures,155385488.0,1999/5/7,1999/6/30,Q2,1999
271,Q3 1999,1113.0,Rush Hour,New Line Cinema,141186864.0,1999/9/18,1999/9/30,Q3,1999
410,Q3 1999,1131.0,There's Something About Mary,Twentieth Century Fox,176484651.0,1999/7/15,1999/9/30,Q3,1999
379,Q1 1999,1022.0,The Matrix,Warner Bros.,171479930.0,1999/3/31,1999/3/31,Q1,1999
32,Q2 1999,1077.0,Austin Powers: The Spy Who Shagged Me,New Line Cinema,206040086.0,1999/6/11,1999/6/30,Q2,1999
270,Q3 1999,1025.0,Runaway Bride,Paramount Pictures,152257509.0,1999/7/30,1999/9/30,Q3,1999
310,Q2 1999,1019.0,Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,431088295.0,1999/5/19,1999/6/30,Q2,1999
